154759 ,Кулинарная  лавка  «Добавка» ,нет ,бар , "город  Москва ,  Рочдельская  улица ,  дом  15 ,  строение  1 " ,49
125871 ,Бар  «Киану» ,нет ,бар , "город  Москва ,  Малая  Бронная  улица ,  дом  28 " ,28
35683 ,Кафе  «Давидов  кафе-бар» ,нет ,кафе , "город  Москва ,  Малая  Бронная  улица ,  дом  24 ,  строение  1 " ,35
147957 ,Паб21 ,нет ,бар , "город  Москва ,  Семёновский  переулок ,  дом  21 " ,60
152631 ,Кафе-бар  «Пантера» ,нет ,кафе , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,38
152634 ,Лобби-Бар  «У  фонтана» ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,16
152636 ,Лобби-Бар  «Welcome» ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,24
141198 , "Бар ,  боулинг ,  клуб " ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,18
25289 ,Кафе-бар  «АМАЗОНИЯ» ,нет ,кафе , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,87
20273 ,Лобби-Бар ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  4Г-Д " ,44
152622 ,Лобби-Бар ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  3В " ,45
152612 ,Гриль-бар  «Веранда» ,нет ,ресторан , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  А " ,65
152614 ,Лобби-Бар ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  А " ,80
152609 ,Хаус  Бар ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  2Б " ,25
152610 ,Лобби-Бар ,нет ,бар , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  2Б " ,25
152599 , "Ресторан-бар ,  ночной  клуб  «Сказка» " ,нет ,ресторан , "город  Москва ,  Измайловское  шоссе ,  дом  71 ,  корпус  2Б " ,75
129804 ,Лора  Крафт ,нет ,бар , "город  Москва ,  улица  Покровка ,  дом  1/13/6 ,  строение  2 " ,50
120736 ,Брюгге ,нет ,бар , "город  Москва ,  Бауманская  улица ,  дом  48/13 " ,150
140400 ,Dark  Patrik's  Pub ,нет ,бар , "город  Москва ,  Большой  Златоустинский  переулок ,  дом  1 ,  строение  1 " ,60
24034 ,БУРБОН ,нет ,бар , "город  Москва ,  Большой  Златоустинский  переулок ,  дом  7 ,  строение  1 " ,40
22381 ,ПРОПАГАНДА ,нет ,бар , "город  Москва ,  Большой  Златоустинский  переулок ,  дом  7 ,  строение  1 " ,80
67958 , "Ресторан ,  бар  «Мандарин» " ,нет ,ресторан , "город  Москва ,  Малый  Черкасский  переулок ,  дом  2 " ,120
25883 ,Th  Old  Shool  Pab ,нет ,бар , "город  Москва ,  Большой  Черкасский  переулок ,  дом  15-17 ,  строение  1 " ,90
141702 ,Широкую  на  широкую ,нет ,бар , "город  Москва ,  Кривоколенный  переулок ,  дом  10 ,  строение  5 " ,50
20696 ,Пивной  клуб  «Амбар» ,нет ,бар , "город  Москва ,  город  Зеленоград ,  корпус  317А ,  строение  1 " ,50
75220 ,Кофейный  бар ,нет ,кафе , "город  Москва ,  Смольная  улица ,  дом  14 " ,6
23709 ,Рок-бар  «Безумий» ,нет ,кафе , "город  Москва ,  Варшавское  шоссе ,  дом  83 ,  строение  1 " ,40
155560 ,Японский  пес ,нет ,бар , "город  Москва ,  улица  Академика  Янгеля ,  дом  6 ,  корпус  1 " ,0
25792 ,Бар  «Все  свои» ,нет ,бар , "город  Москва ,  город  Зеленоград ,  корпус  1604 " ,23
20718 ,КАФЕ  РЕВА ,нет ,бар , "город  Москва ,  улица  Миклухо-Маклая ,  дом  18 ,  корпус  1 " ,20
20537 ,ВЕКТОР  -С ,нет ,бар , "город  Москва ,  улица  Островитянова ,  дом  32А " ,45
76759 ,Спорт-бар  «Торнадо» ,нет ,бар , "город  Москва ,  Нахимовский  проспект ,  дом  57 " ,50
144233 ,Бар  «Витражи» ,нет ,бар , "город  Москва ,  улица  Каховка ,  дом  11 ,  корпус  1 " ,40
107373 ,БИЛЬЯРДНЫЙ  КЛУБ ,нет ,бар , "город  Москва ,  улица  Николая  Химушина ,  дом  5 ,  строение  3 " ,18
76080 ,Чешская  пивная  Козловица ,нет ,бар , "город  Москва ,  улица  Сретенка ,  дом  4 " ,220
130058 ,Beer  Happens ,нет ,бар , "город  Москва ,  улица  Сретенка ,  дом  24/2 ,  строение  1 " ,80
24729 ,Дрим  Бар ,нет ,бар , "город  Москва ,  Мясницкая  улица ,  дом  17 ,  строение  1 " ,80
141438 ,На  кранах ,нет ,бар , "город  Москва ,  Цветной  бульвар ,  дом  19 ,  строение  5 " ,48
111850 ,Петров  и  Васечка ,нет ,бар , "город  Москва ,  Цветной  бульвар ,  дом  7 ,  строение  1 " ,55
141464 ,Дипломат ,нет ,бар , "город  Москва ,  Цветной  бульвар ,  дом  5 " ,41
156314 ,Вентура ,нет ,бар , "город  Москва ,  улица  Петровка ,  дом  17 ,  строение  7 " ,35
136647 ,Бар ,нет ,бар , "город  Москва ,  Большая  Академическая  улица ,  дом  13А " ,10
151282 ,Кафе  PAYOT ,нет ,бар , "город  Москва ,  Селигерская  улица ,  дом  24/1 ,  строение  2 " ,40
133824 ,Клуб  Аврора ,нет ,бар , "город  Москва ,  улица  Петровские  Линии ,  дом  2 " ,50
20588 ,БАР ,нет ,бар , "город  Москва ,  улица  Петровские  Линии ,  дом  2 " ,30
20332 ,Шайк  Бар ,нет ,бар , "город  Москва ,  Столешников  переулок ,  дом  7 ,  строение  1 " ,60
23095 ,Спорт-бар ,нет ,кафе , "город  Москва ,  улица  Декабристов ,  дом  8 " ,70
140177 ,Спорт-бар  Гладиатор ,нет ,бар , "город  Москва ,  улица  Фонвизина ,  дом  17 " ,15
20368 ,БАР  ПРИ  ИНТЕРНЕТ-КАФЕ ,нет ,бар , "город  Москва ,  Ясный  проезд ,  дом  26 ,  корпус  2 " ,11
20611 ,БАРЫ  12345 ,нет ,бар , "город  Москва ,  Цветной  бульвар ,  дом  13 " ,90
20613 ,ЭФИ ,нет ,бар , "город  Москва ,  Сущёвская  улица ,  дом  21 " ,48
147448 ,Брюссель ,нет ,бар , "город  Москва ,  улица  Малая  Дмитровка ,  дом  18А ,  строение  3 " ,150
20338 ,ШАЛЯПИН ,нет ,бар , "город  Москва ,  Театральный  проезд ,  дом  2 " ,72
19643 ,Бар  «ЛЮКС» ,нет ,бар , "город  Москва ,  улица  Мичуринский  Проспект ,  Олимпийская  Деревня ,  дом  4 ,  корпус  1 " ,24
